sensor-id,sensor-name,latitude,longitude,URL
CWS057,Fort Rd / Katong Pk,1.2967953,103.8872042,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS057
CWS117,Bt Timah 2nd Diversion Canal (Jalan Datoh),1.3290247,103.8436519,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS117
CWS132,Alexandra Canal(Delta Ave),1.29222,103.826256,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS132
CWS152,Happy Avenue OD (Jln Anggerek),1.3310975,103.882217,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS152
CWS161,Playfair Rd OD (Bartley Rd East),1.341519,103.8818267,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS161
CWS230,Serangoon Ave 2/ Serangoon Ave 3,1.35181745,103.8693846,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS230
CWS329,Bt Timah 2nd Diversion Canal (Jalan Rajah),1.3290193,103.8503537,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS329
CWS333,Mountbatten Rd / Tanjong Katong Rd,1.301956,103.896686,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS333
CWS432,Siang Kuang Ave (Unit 43A),1.329966,103.87274,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS432
EWS020,Tanah Merah Besar Rd,1.3607213,103.9740307,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS020
EWS034,Sg Ketapang (Xilin Ave),1.329153,103.963372,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS034
EWS065,Bedok Canal First Sub Drain(Bedok North Road),1.3346953,103.920244,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS065
EWS066,Upper East Coast Rd / Jalan Haji Salam,1.319486,103.954401,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS066
EWS076,Sungei Api Api (Pasir Ris Dr 3),1.377751,103.944632,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS076
EWS092,Sungei Khatib Bongsu (Yishun Ave 6),1.433556,103.844282,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS092
WWS013, Coronation Rd West/Jln Haji Alias,1.321613,103.796824,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS013
WWS016,Sg Ulu Pandan (Sunset Walk),1.322861,103.767295,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS016
WWS026,Sg Pandan (Bukit Batok East Ave 6),1.344481,103.752569,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS026
WWS066,Clementi Rd / West Coast Rd,1.293455,103.768636,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS066
WWS086,Clementi Rd / Sunset Lane,1.320677,103.769608,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS086
WWS181,Yee Siang Road/ W Coast Hwy,1.2769315,103.7923764,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS181
WWS201,Sg Lanchar SD B2 (Blk 639 Jurong West St 61),1.3409851,103.6968388,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS201
WWS212,Sg Lanchar SD C (Soka Cultural Ctr),1.348065,103.703917,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS212
WWS264,Sg Pang Sua SD E (Mandai Rd u/s culvert),1.410518,103.762476,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS264
WWS293,Toh Tuck OD (Secom Centre),1.334912,103.758996,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS293
WWS415,Bt Timah Canal (Ascot Rise),1.3338299,103.7896898,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS415
WWS479,Jurong East St 32 (Blk 312),1.347866,103.731878,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS479
CWS069,Bencoolen St/ Rochor Canal Rd,1.3027091,103.8539257,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS069
CWS177,Tanjong Pagar Road / Hoe Chiang Rd,1.2739637,103.8430966,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS177
CWS227,Jln Lokam/ Upp Paya Lebar Rd,1.3455473,103.8818562,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS227
EWS018,Tampines Ave 4,1.3478777,103.9381924,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS018
EWS053,Sembawang Rd / Jalan Jeruju,1.4419291,103.8242511,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS053
EWS064,Yishun Ave 2 / Yishun Ave 5,1.430976,103.835187,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS064
EWS079,Bedok Canal(Upper Changi Rd East),1.330595,103.951663,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS079
EWS089,Bedok Canal 3rd SD (Bedok Rd),1.32299,103.95357,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS089
